model_label,outcome,indicator,standardized_predicted_probability_indicator_0,standardized_predicted_probability_indicator_1,standardized_probability_difference,interpretation
grant_primary,has_grant_link,ethics_responsibility_primary,0.1846669575980758,0.1470321757750951,-0.0376347818229807,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
grant_primary,has_grant_link,computational_performance_primary,0.1694914436461606,0.2264996759957865,0.0570082323496258,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
grant_complete_case,has_grant_link,ethics_responsibility_primary,0.1886446356788537,0.1498674532853982,-0.0387771823934554,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
grant_complete_case,has_grant_link,computational_performance_primary,0.1730281234943587,0.2300500279885836,0.0570219044942249,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
grant_no_citation_adjustment,has_grant_link,ethics_responsibility_primary,0.1836791957019139,0.1510142225369395,-0.0326649731649744,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
grant_no_citation_adjustment,has_grant_link,computational_performance_primary,0.1681263963771475,0.2370378829423948,0.0689114865652472,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
grant_flexible_year,has_grant_link,ethics_responsibility_primary,0.1833581096754856,0.1523703186400822,-0.0309877910354034,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
grant_flexible_year,has_grant_link,computational_performance_primary,0.1696719033070276,0.2254627859943347,0.0557908826873071,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
grant_start_on_or_before_publication,has_grant_start_on_or_before_publication_link,ethics_responsibility_primary,0.1844577448968145,0.1469891267809417,-0.0374686181158727,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
grant_start_on_or_before_publication,has_grant_start_on_or_before_publication_link,computational_performance_primary,0.1692802433455789,0.2264997569651254,0.0572195136195464,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2021_primary,has_policy_document_link,ethics_responsibility_primary,0.0601724428847724,0.1019820303577639,0.0418095874729915,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2021_primary,has_policy_document_link,computational_performance_primary,0.0670170478476876,0.052482169447539,-0.0145348784001486,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2020_robustness,has_policy_document_link,ethics_responsibility_primary,0.0707290978997618,0.1421139171159591,0.0713848192161973,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2020_robustness,has_policy_document_link,computational_performance_primary,0.0777509894652953,0.0754841980324442,-0.002266791432851,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2021_complete_case,has_policy_document_link,ethics_responsibility_primary,0.0621963529216648,0.105493892755282,0.0432975398336171,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2021_complete_case,has_policy_document_link,computational_performance_primary,0.069319599913414,0.0540734638126566,-0.0152461361007574,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2020_complete_case,has_policy_document_link,ethics_responsibility_primary,0.0733714954968358,0.1477518720485435,0.0743803765517076,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2020_complete_case,has_policy_document_link,computational_performance_primary,0.0807242443724632,0.0779856070098498,-0.0027386373626134,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2021_no_citation_adjustment,has_policy_document_link,ethics_responsibility_primary,0.0585745346041587,0.126456814092775,0.0678822794886162,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2021_no_citation_adjustment,has_policy_document_link,computational_performance_primary,0.0665151252965279,0.0542134045526935,-0.0123017207438343,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2020_no_citation_adjustment,has_policy_document_link,ethics_responsibility_primary,0.0691795337935539,0.1776564463871703,0.1084769125936163,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2020_no_citation_adjustment,has_policy_document_link,computational_performance_primary,0.0790336952886355,0.0683576038145213,-0.0106760914741142,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2021_flexible_year,has_policy_document_link,ethics_responsibility_primary,0.0599130427950701,0.105191449708341,0.0452784069132709,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2021_flexible_year,has_policy_document_link,computational_performance_primary,0.0666936991642497,0.0540131347841726,-0.0126805643800771,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2020_flexible_year,has_policy_document_link,ethics_responsibility_primary,0.070765171451148,0.1438903986569865,0.0731252272058385,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
policy_2020_flexible_year,has_policy_document_link,computational_performance_primary,0.0777074575108436,0.0757528149878173,-0.0019546425230262,Model-based standardized contrast obtained by setting one indicator to 0 and 1 for all observations while retaining all other observed covariates. It is not a causal effect.
