model_label,outcome,max_cooks_distance,n_cooks_distance_above_4_over_n,max_abs_dfbetas,influence_note
grant_primary,has_grant_link,0.001284664727514,862,0.1072741651275778,"Influence diagnostics are reported for the fitted binomial GLM. They are screening diagnostics, not case-deletion effect estimates."
grant_complete_case,has_grant_link,0.0012931722586474,821,0.108237348550766,"Influence diagnostics are reported for the fitted binomial GLM. They are screening diagnostics, not case-deletion effect estimates."
grant_no_citation_adjustment,has_grant_link,0.0020400446015035,1109,0.1094144605224266,"Influence diagnostics are reported for the fitted binomial GLM. They are screening diagnostics, not case-deletion effect estimates."
grant_flexible_year,has_grant_link,0.0197903696571365,846,0.5375812890127022,"Influence diagnostics are reported for the fitted binomial GLM. They are screening diagnostics, not case-deletion effect estimates."
grant_start_on_or_before_publication,has_grant_start_on_or_before_publication_link,0.0012883833507013,861,0.1071598841903231,"Influence diagnostics are reported for the fitted binomial GLM. They are screening diagnostics, not case-deletion effect estimates."
policy_2021_primary,has_policy_document_link,0.0258600816745119,155,0.4281072264454223,"Influence diagnostics are reported for the fitted binomial GLM. They are screening diagnostics, not case-deletion effect estimates."
policy_2020_robustness,has_policy_document_link,0.0338747428531614,121,0.4599132346819425,"Influence diagnostics are reported for the fitted binomial GLM. They are screening diagnostics, not case-deletion effect estimates."
policy_2021_complete_case,has_policy_document_link,0.0257601542231116,153,0.4276331178301872,"Influence diagnostics are reported for the fitted binomial GLM. They are screening diagnostics, not case-deletion effect estimates."
policy_2020_complete_case,has_policy_document_link,0.0337740177029891,120,0.4593007823948351,"Influence diagnostics are reported for the fitted binomial GLM. They are screening diagnostics, not case-deletion effect estimates."
policy_2021_no_citation_adjustment,has_policy_document_link,0.0185768530936173,147,0.3527375871167635,"Influence diagnostics are reported for the fitted binomial GLM. They are screening diagnostics, not case-deletion effect estimates."
policy_2020_no_citation_adjustment,has_policy_document_link,0.0246621773972316,120,0.3920495882076929,"Influence diagnostics are reported for the fitted binomial GLM. They are screening diagnostics, not case-deletion effect estimates."
policy_2021_flexible_year,has_policy_document_link,0.0445267453607077,151,0.5676174606082844,"Influence diagnostics are reported for the fitted binomial GLM. They are screening diagnostics, not case-deletion effect estimates."
policy_2020_flexible_year,has_policy_document_link,0.0459059155232202,113,0.534874242393762,"Influence diagnostics are reported for the fitted binomial GLM. They are screening diagnostics, not case-deletion effect estimates."
